格,式,大前提,小前提,结论,是否有效,谬误类型,传统名称,是否弱式
1,OIA,有些M不是P,有些S是M,所有S都是P,否,否定前提得出肯定结论,,
1,OIE,有些M不是P,有些S是M,所有S都不是P,否,两个特称前提,,
1,OII,有些M不是P,有些S是M,有些S是P,否,否定前提得出肯定结论,,
1,OIO,有些M不是P,有些S是M,有些S不是P,否,两个特称前提,,
1,OOA,有些M不是P,有些S不是M,所有S都是P,否,两个否定前提,,
1,OOE,有些M不是P,有些S不是M,所有S都不是P,否,两个否定前提,,
1,OOI,有些M不是P,有些S不是M,有些S是P,否,两个否定前提,,
1,OOO,有些M不是P,有些S不是M,有些S不是P,否,两个否定前提,,
2,AAA,所有P都是M,所有S都是M,所有S都是P,否,中项不周延,,
2,AAE,所有P都是M,所有S都是M,所有S都不是P,否,中项不周延,,
2,AAI,所有P都是M,所有S都是M,有些S是P,否,中项不周延,,
2,AAO,所有P都是M,所有S都是M,有些S不是P,否,中项不周延,,
2,AEA,所有P都是M,所有S都不是M,所有S都是P,否,否定前提得出肯定结论,,
2,AEE,所有P都是M,所有S都不是M,所有S都不是P,是,,卡梅斯特,
2,AEI,所有P都是M,所有S都不是M,有些S是P,否,否定前提得出肯定结论,,
2,AEO,所有P都是M,所有S都不是M,有些S不是P,是,,卡梅斯特罗,是
2,AIA,所有P都是M,有些S是M,所有S都是P,否,特称前提得出全称结论,,
2,AIE,所有P都是M,有些S是M,所有S都不是P,否,特称前提得出全称结论,,
2,AII,所有P都是M,有些S是M,有些S是P,否,中项不周延,,
2,AIO,所有P都是M,有些S是M,有些S不是P,否,中项不周延,,
2,AOA,所有P都是M,有些S不是M,所有S都是P,否,否定前提得出肯定结论,,
2,AOE,所有P都是M,有些S不是M,所有S都不是P,否,特称前提得出全称结论,,
2,AOI,所有P都是M,有些S不是M,有些S是P,否,否定前提得出肯定结论,,
2,AOO,所有P都是M,有些S不是M,有些S不是P,是,,巴罗科,
2,EAA,所有P都不是M,所有S都是M,所有S都是P,否,否定前提得出肯定结论,,
2,EAE,所有P都不是M,所有S都是M,所有S都不是P,是,,切萨雷,
2,EAI,所有P都不是M,所有S都是M,有些S是P,否,否定前提得出肯定结论,,
2,EAO,所有P都不是M,所有S都是M,有些S不是P,是,,切萨罗,是
2,EEA,所有P都不是M,所有S都不是M,所有S都是P,否,两个否定前提,,
2,EEE,所有P都不是M,所有S都不是M,所有S都不是P,否,两个否定前提,,
2,EEI,所有P都不是M,所有S都不是M,有些S是P,否,两个否定前提,,
2,EEO,所有P都不是M,所有S都不是M,有些S不是P,否,两个否定前提,,
2,EIA,所有P都不是M,有些S是M,所有S都是P,否,否定前提得出肯定结论,,
2,EIE,所有P都不是M,有些S是M,所有S都不是P,否,特称前提得出全称结论,,
2,EII,所有P都不是M,有些S是M,有些S是P,否,否定前提得出肯定结论,,
2,EIO,所有P都不是M,有些S是M,有些S不是P,是,,费斯蒂诺,
2,EOA,所有P都不是M,有些S不是M,所有S都是P,否,两个否定前提,,
2,EOE,所有P都不是M,有些S不是M,所有S都不是P,否,两个否定前提,,
2,EOI,所有P都不是M,有些S不是M,有些S是P,否,两个否定前提,,
2,EOO,所有P都不是M,有些S不是M,有些S不是P,否,两个否定前提,,
2,IAA,有些P是M,所有S都是M,所有S都是P,否,特称前提得出全称结论,,
2,IAE,有些P是M,所有S都是M,所有S都不是P,否,特称前提得出全称结论,,
2,IAI,有些P是M,所有S都是M,有些S是P,否,中项不周延,,
2,IAO,有些P是M,所有S都是M,有些S不是P,否,中项不周延,,
2,IEA,有些P是M,所有S都不是M,所有S都是P,否,否定前提得出肯定结论,,
2,IEE,有些P是M,所有S都不是M,所有S都不是P,否,特称前提得出全称结论,,
2,IEI,有些P是M,所有S都不是M,有些S是P,否,否定前提得出肯定结论,,
2,IEO,有些P是M,所有S都不是M,有些S不是P,否,大项不当周延,,
2,IIA,有些P是M,有些S是M,所有S都是P,否,两个特称前提,,
2,IIE,有些P是M,有些S是M,所有S都不是P,否,两个特称前提,,
2,III,有些P是M,有些S是M,有些S是P,否,两个特称前提,,
2,IIO,有些P是M,有些S是M,有些S不是P,否,两个特称前提,,
2,IOA,有些P是M,有些S不是M,所有S都是P,否,否定前提得出肯定结论,,
2,IOE,有些P是M,有些S不是M,所有S都不是P,否,两个特称前提,,
2,IOI,有些P是M,有些S不是M,有些S是P,否,否定前提得出肯定结论,,
2,IOO,有些P是M,有些S不是M,有些S不是P,否,两个特称前提,,
2,OAA,有些P不是M,所有S都是M,所有S都是P,否,否定前提得出肯定结论,,
2,OAE,有些P不是M,所有S都是M,所有S都不是P,否,特称前提得出全称结论,,
2,OAI,有些P不是M,所有S都是M,有些S是P,否,否定前提得出肯定结论,,
2,OAO,有些P不是M,所有S都是M,有些S不是P,否,大项不当周延,,
2,OEA,有些P不是M,所有S都不是M,所有S都是P,否,两个否定前提,,
2,OEE,有些P不是M,所有S都不是M,所有S都不是P,否,两个否定前提,,
2,OEI,有些P不是M,所有S都不是M,有些S是P,否,两个否定前提,,
2,OEO,有些P不是M,所有S都不是M,有些S不是P,否,两个否定前提,,
2,OIA,有些P不是M,有些S是M,所有S都是P,否,否定前提得出肯定结论,,
2,OIE,有些P不是M,有些S是M,所有S都不是P,否,两个特称前提,,
2,OII,有些P不是M,有些S是M,有些S是P,否,否定前提得出肯定结论,,
2,OIO,有些P不是M,有些S是M,有些S不是P,否,两个特称前提,,
2,OOA,有些P不是M,有些S不是M,所有S都是P,否,两个否定前提,,
2,OOE,有些P不是M,有些S不是M,所有S都不是P,否,两个否定前提,,
2,OOI,有些P不是M,有些S不是M,有些S是P,否,两个否定前提,,
2,OOO,有些P不是M,有些S不是M,有些S不是P,否,两个否定前提,,
3,AAA,所有M都是P,所有M都是S,所有S都是P,否,小项不当周延,,
3,AAE,所有M都是P,所有M都是S,所有S都不是P,否,大项不当周延,,
3,AAI,所有M都是P,所有M都是S,有些S是P,是,,达拉普提,是
3,AAO,所有M都是P,所有M都是S,有些S不是P,否,大项不当周延,,
3,AEA,所有M都是P,所有M都不是S,所有S都是P,否,否定前提得出肯定结论,,
3,AEE,所有M都是P,所有M都不是S,所有S都不是P,否,大项不当周延,,
3,AEI,所有M都是P,所有M都不是S,有些S是P,否,否定前提得出肯定结论,,
3,AEO,所有M都是P,所有M都不是S,有些S不是P,否,大项不当周延,,
3,AIA,所有M都是P,有些M是S,所有S都是P,否,特称前提得出全称结论,,
3,AIE,所有M都是P,有些M是S,所有S都不是P,否,特称前提得出全称结论,,
3,AII,所有M都是P,有些M是S,有些S是P,是,,达提西,
3,AIO,所有M都是P,有些M是S,有些S不是P,否,大项不当周延,,
3,AOA,所有M都是P,有些M不是S,所有S都是P,否,否定前提得出肯定结论,,
3,AOE,所有M都是P,有些M不是S,所有S都不是P,否,特称前提得出全称结论,,
3,AOI,所有M都是P,有些M不是S,有些S是P,否,否定前提得出肯定结论,,
3,AOO,所有M都是P,有些M不是S,有些S不是P,否,大项不当周延,,
3,EAA,所有M都不是P,所有M都是S,所有S都是P,否,否定前提得出肯定结论,,
3,EAE,所有M都不是P,所有M都是S,所有S都不是P,否,小项不当周延,,
3,EAI,所有M都不是P,所有M都是S,有些S是P,否,否定前提得出肯定结论,,
3,EAO,所有M都不是P,所有M都是S,有些S不是P,是,,费拉普顿,是
3,EEA,所有M都不是P,所有M都不是S,所有S都是P,否,两个否定前提,,
3,EEE,所有M都不是P,所有M都不是S,所有S都不是P,否,两个否定前提,,
3,EEI,所有M都不是P,所有M都不是S,有些S是P,否,两个否定前提,,
3,EEO,所有M都不是P,所有M都不是S,有些S不是P,否,两个否定前提,,
3,EIA,所有M都不是P,有些M是S,所有S都是P,否,否定前提得出肯定结论,,
3,EIE,所有M都不是P,有些M是S,所有S都不是P,否,特称前提得出全称结论,,
3,EII,所有M都不是P,有些M是S,有些S是P,否,否定前提得出肯定结论,,
3,EIO,所有M都不是P,有些M是S,有些S不是P,是,,费里森,
3,EOA,所有M都不是P,有些M不是S,所有S都是P,否,两个否定前提,,
3,EOE,所有M都不是P,有些M不是S,所有S都不是P,否,两个否定前提,,
3,EOI,所有M都不是P,有些M不是S,有些S是P,否,两个否定前提,,
3,EOO,所有M都不是P,有些M不是S,有些S不是P,否,两个否定前提,,
3,IAA,有些M是P,所有M都是S,所有S都是P,否,特称前提得出全称结论,,
3,IAE,有些M是P,所有M都是S,所有S都不是P,否,特称前提得出全称结论,,
3,IAI,有些M是P,所有M都是S,有些S是P,是,,迪萨米斯,
3,IAO,有些M是P,所有M都是S,有些S不是P,否,大项不当周延,,
3,IEA,有些M是P,所有M都不是S,所有S都是P,否,否定前提得出肯定结论,,
3,IEE,有些M是P,所有M都不是S,所有S都不是P,否,特称前提得出全称结论,,
3,IEI,有些M是P,所有M都不是S,有些S是P,否,否定前提得出肯定结论,,
3,IEO,有些M是P,所有M都不是S,有些S不是P,否,大项不当周延,,
3,IIA,有些M是P,有些M是S,所有S都是P,否,两个特称前提,,
3,IIE,有些M是P,有些M是S,所有S都不是P,否,两个特称前提,,
3,III,有些M是P,有些M是S,有些S是P,否,两个特称前提,,
3,IIO,有些M是P,有些M是S,有些S不是P,否,两个特称前提,,
3,IOA,有些M是P,有些M不是S,所有S都是P,否,否定前提得出肯定结论,,
3,IOE,有些M是P,有些M不是S,所有S都不是P,否,两个特称前提,,
3,IOI,有些M是P,有些M不是S,有些S是P,否,否定前提得出肯定结论,,
3,IOO,有些M是P,有些M不是S,有些S不是P,否,两个特称前提,,
3,OAA,有些M不是P,所有M都是S,所有S都是P,否,否定前提得出肯定结论,,
3,OAE,有些M不是P,所有M都是S,所有S都不是P,否,特称前提得出全称结论,,
3,OAI,有些M不是P,所有M都是S,有些S是P,否,否定前提得出肯定结论,,
3,OAO,有些M不是P,所有M都是S,有些S不是P,是,,博卡多,
3,OEA,有些M不是P,所有M都不是S,所有S都是P,否,两个否定前提,,
3,OEE,有些M不是P,所有M都不是S,所有S都不是P,否,两个否定前提,,
3,OEI,有些M不是P,所有M都不是S,有些S是P,否,两个否定前提,,
3,OEO,有些M不是P,所有M都不是S,有些S不是P,否,两个否定前提,,
3,OIA,有些M不是P,有些M是S,所有S都是P,否,否定前提得出肯定结论,,
3,OIE,有些M不是P,有些M是S,所有S都不是P,否,两个特称前提,,
3,OII,有些M不是P,有些M是S,有些S是P,否,否定前提得出肯定结论,,
3,OIO,有些M不是P,有些M是S,有些S不是P,否,两个特称前提,,
3,OOA,有些M不是P,有些M不是S,所有S都是P,否,两个否定前提,,
3,OOE,有些M不是P,有些M不是S,所有S都不是P,否,两个否定前提,,
3,OOI,有些M不是P,有些M不是S,有些S是P,否,两个否定前提,,
3,OOO,有些M不是P,有些M不是S,有些S不是P,否,两个否定前提,,
4,AAA,所有P都是M,所有M都是S,所有S都是P,否,小项不当周延,,
4,AAE,所有P都是M,所有M都是S,所有S都不是P,否,小项不当周延,,
4,AAI,所有P都是M,所有M都是S,有些S是P,是,,布拉曼提普,是
4,AAO,所有P都是M,所有M都是S,有些S不是P,是,,,
4,AEA,所有P都是M,所有M都不是S,所有S都是P,否,否定前提得出肯定结论,,
4,AEE,所有P都是M,所有M都不是S,所有S都不是P,是,,卡梅内斯,
4,AEI,所有P都是M,所有M都不是S,有些S是P,否,否定前提得出肯定结论,,
4,AEO,所有P都是M,所有M都不是S,有些S不是P,是,,卡莱莫斯,是
4,AIA,所有P都是M,有些M是S,所有S都是P,否,特称前提得出全称结论,,
4,AIE,所有P都是M,有些M是S,所有S都不是P,否,特称前提得出全称结论,,
4,AII,所有P都是M,有些M是S,有些S是P,否,中项不周延,,
4,AIO,所有P都是M,有些M是S,有些S不是P,否,中项不周延,,
4,AOA,所有P都是M,有些M不是S,所有S都是P,否,否定前提得出肯定结论,,
4,AOE,所有P都是M,有些M不是S,所有S都不是P,否,特称前提得出全称结论,,
4,AOI,所有P都是M,有些M不是S,有些S是P,否,否定前提得出肯定结论,,
4,AOO,所有P都是M,有些M不是S,有些S不是P,否,中项不周延,,
4,EAA,所有P都不是M,所有M都是S,所有S都是P,否,否定前提得出肯定结论,,
4,EAE,所有P都不是M,所有M都是S,所有S都不是P,否,小项不当周延,,
4,EAI,所有P都不是M,所有M都是S,有些S是P,否,否定前提得出肯定结论,,
4,EAO,所有P都不是M,所有M都是S,有些S不是P,是,,费萨波,是
4,EEA,所有P都不是M,所有M都不是S,所有S都是P,否,两个否定前提,,
4,EEE,所有P都不是M,所有M都不是S,所有S都不是P,否,两个否定前提,,
4,EEI,所有P都不是M,所有M都不是S,有些S是P,否,两个否定前提,,
4,EEO,所有P都不是M,所有M都不是S,有些S不是P,否,两个否定前提,,
4,EIA,所有P都不是M,有些M是S,所有S都是P,否,否定前提得出肯定结论,,
4,EIE,所有P都不是M,有些M是S,所有S都不是P,否,特称前提得出全称结论,,
4,EII,所有P都不是M,有些M是S,有些S是P,否,否定前提得出肯定结论,,
4,EIO,所有P都不是M,有些M是S,有些S不是P,是,,弗雷西森,
4,EOA,所有P都不是M,有些M不是S,所有S都是P,否,两个否定前提,,
4,EOE,所有P都不是M,有些M不是S,所有S都不是P,否,两个否定前提,,
4,EOI,所有P都不是M,有些M不是S,有些S是P,否,两个否定前提,,
4,EOO,所有P都不是M,有些M不是S,有些S不是P,否,两个否定前提,,
4,IAA,有些P是M,所有M都是S,所有S都是P,否,特称前提得出全称结论,,
4,IAE,有些P是M,所有M都是S,所有S都不是P,否,特称前提得出全称结论,,
4,IAI,有些P是M,所有M都是S,有些S是P,是,,迪马里斯,
4,IAO,有些P是M,所有M都是S,有些S不是P,否,大项不当周延,,
4,IEA,有些P是M,所有M都不是S,所有S都是P,否,否定前提得出肯定结论,,
4,IEE,有些P是M,所有M都不是S,所有S都不是P,否,特称前提得出全称结论,,
4,IEI,有些P是M,所有M都不是S,有些S是P,否,否定前提得出肯定结论,,
4,IEO,有些P是M,所有M都不是S,有些S不是P,否,大项不当周延,,
4,IIA,有些P是M,有些M是S,所有S都是P,否,两个特称前提,,
4,IIE,有些P是M,有些M是S,所有S都不是P,否,两个特称前提,,
4,III,有些P是M,有些M是S,有些S是P,否,两个特称前提,,
4,IIO,有些P是M,有些M是S,有些S不是P,否,两个特称前提,,
4,IOA,有些P是M,有些M不是S,所有S都是P,否,否定前提得出肯定结论,,
4,IOE,有些P是M,有些M不是S,所有S都不是P,否,两个特称前提,,
4,IOI,有些P是M,有些M不是S,有些S是P,否,否定前提得出肯定结论,,
4,IOO,有些P是M,有些M不是S,有些S不是P,否,两个特称前提,,
4,OAA,有些P不是M,所有M都是S,所有S都是P,否,否定前提得出肯定结论,,
4,OAE,有些P不是M,所有M都是S,所有S都不是P,否,特称前提得出全称结论,,
4,OAI,有些P不是M,所有M都是S,有些S是P,否,否定前提得出肯定结论,,
4,OAO,有些P不是M,所有M都是S,有些S不是P,否,大项不当周延,,
4,OEA,有些P不是M,所有M都不是S,所有S都是P,否,两个否定前提,,
4,OEE,有些P不是M,所有M都不是S,所有S都不是P,否,两个否定前提,,
4,OEI,有些P不是M,所有M都不是S,有些S是P,否,两个否定前提,,
4,OEO,有些P不是M,所有M都不是S,有些S不是P,否,两个否定前提,,
4,OIA,有些P不是M,有些M是S,所有S都是P,否,否定前提得出肯定结论,,
4,OIE,有些P不是M,有些M是S,所有S都不是P,否,两个特称前提,,
4,OII,有些P不是M,有些M是S,有些S是P,否,否定前提得出肯定结论,,
4,OIO,有些P不是M,有些M是S,有些S不是P,否,两个特称前提,,
4,OOA,有些P不是M,有些M不是S,所有S都是P,否,两个否定前提,,
4,OOE,有些P不是M,有些M不是S,所有S都不是P,否,两个否定前提,,
4,OOI,有些P不是M,有些M不是S,有些S是P,否,两个否定前提,,
4,OOO,有些P不是M,有些M不是S,有些S不是P,否,两个否定前提,,
